,Reactant SMILES,Product SMILES,Solvent SMILES,Additive SMILES,Metal,Ligand SMILES,Catalyst SMILES(RDKit),Pressure/atm,Temperature/C,S/C,Conv.,Yield,ddG,ee,Scaffold type,Multi-scaffold type,Dihedral Tag,Match Pattern,Match Pattern Back,Match Index,Olefin Type,DOI
9529,COC(=O)/C(=C/c1ccc(C(F)(F)F)cc1)NC(C)=O,COC(=O)[C@@H](Cc1ccc(C(F)(F)F)cc1)NC(C)=O,CC(C)=O,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,2.51931702,0.97,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1021/jo0622429
9533,COC(=O)/C(=C/Sc1ccccc1)NC(C)=O,COC(=O)[C@@H](CSc1ccccc1)NC(C)=O,CC(C)=O,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,2.40254515,0.97,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1021/jo0622429
9537,CCC/C=C(\NC(C)=O)C(=O)OC,CCCC[C@@H](NC(C)=O)C(=O)OC,CC(C)=O,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,3.13437597,0.99,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1021/jo0622429
9541,COC/C=C(\NC(C)=O)C(=O)OC,COCC[C@@H](NC(C)=O)C(=O)OC,CC(C)=O,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,1.92986354,0.93,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1021/jo0622429
9583,C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC,OCC(F)(F)F,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,2.56379954,0.97,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",di-sub,10.1021/jo0622429
9584,C=C(CC(=O)OC)C(=O)O,COC(=O)C[C@@H](C)C(=O)O,OCC(F)(F)F,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,2.93394597,0.99,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",di-sub,10.1021/jo0622429
9585,C=C(CC(=O)O)C(=O)OC,COC(=O)[C@H](C)CC(=O)O,OCC(F)(F)F,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,2.56379954,0.97,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",di-sub,10.1021/jo0622429
9586,C=C(CC(=O)O)C(=O)O,C[C@H](CC(=O)O)C(=O)O,OCC(F)(F)F,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,3.43804514,0.99,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",di-sub,10.1021/jo0622429
9587,C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC,CCC(C)=O,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,0.44090471,0.36,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",di-sub,10.1021/jo0622429
9588,C=C(CC(=O)OC)C(=O)O,COC(=O)C[C@H](C)C(=O)O,CCC(C)=O,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,0.96,,0.12840297,0.11,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",di-sub,10.1021/jo0622429
9589,C=C(CC(=O)O)C(=O)OC,COC(=O)[C@H](C)CC(=O)O,CCC(C)=O,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,1.78202509,0.91,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",di-sub,10.1021/jo0622429
9590,C=C(CC(=O)O)C(=O)O,C[C@H](CC(=O)O)C(=O)O,CCC(C)=O,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,1.47077071,0.85,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",di-sub,10.1021/jo0622429
9640,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,CC(C)=O,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,3.02582073,0.99,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1021/jo0622429
9647,C=C(NC(C)=O)C(=O)OC,COC(=O)[C@@H](C)NC(C)=O,CC(C)=O,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,2.93394597,0.99,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",di-sub,10.1021/jo0622429
9651,COC(=O)/C(=C/c1ccc(F)cc1)NC(C)=O,COC(=O)[C@@H](Cc1ccc(F)cc1)NC(C)=O,CC(C)=O,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,2.85428012,0.98,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1021/jo0622429
9655,COC(=O)/C(=C/c1ccccc1Cl)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1Cl)NC(C)=O,CC(C)=O,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,2.24685471,0.96,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1021/jo0622429
9659,COC(=O)/C(=C/c1ccc(Cl)cc1)NC(C)=O,COC(=O)[C@@H](Cc1ccc(Cl)cc1)NC(C)=O,CC(C)=O,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,2.72095293,0.98,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1021/jo0622429
9663,COC(=O)/C(=C/c1cccc(Br)c1)NC(C)=O,COC(=O)[C@@H](Cc1cccc(Br)c1)NC(C)=O,CC(C)=O,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,2.85428012,0.98,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1021/jo0622429
9667,COC(=O)/C(=C/c1ccc(OC)cc1)NC(C)=O,COC(=O)[C@@H](Cc1ccc(OC)cc1)NC(C)=O,CC(C)=O,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,3.43804514,0.99,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1021/jo0622429
9671,COC(=O)/C(=C/c1ccc(C(F)(F)F)cc1)NC(C)=O,COC(=O)[C@@H](Cc1ccc(C(F)(F)F)cc1)NC(C)=O,CC(C)=O,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,2.51931702,0.97,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1021/jo0622429
9675,COC(=O)/C(=C/Sc1ccccc1)NC(C)=O,COC(=O)[C@@H](CSc1ccccc1)NC(C)=O,CC(C)=O,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,2.40254515,0.97,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1021/jo0622429
9679,CCC/C=C(\NC(C)=O)C(=O)OC,CCCC[C@@H](NC(C)=O)C(=O)OC,CC(C)=O,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,3.13437597,0.99,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1021/jo0622429
9683,COC/C=C(\NC(C)=O)C(=O)OC,COCC[C@@H](NC(C)=O)C(=O)OC,CC(C)=O,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,1.92986354,0.93,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1021/jo0622429
9687,C=C(CC(=O)O)C(=O)OC,COC(=O)[C@H](C)CC(=O)O,ClCCl,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,2.43904547,0.97,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",di-sub,10.1021/jo0622429
9691,C=C(CC(=O)O)C(=O)OC,COC(=O)[C@H](C)CC(=O)O,Cc1ccccc1,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,1.94670214,0.93,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",di-sub,10.1021/jo0622429
9695,C=C(CC(=O)O)C(=O)OC,COC(=O)[C@H](C)CC(=O)O,C1CCOC1,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,0.07827623,0.07,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",di-sub,10.1021/jo0622429
9699,C=C(CC(=O)O)C(=O)OC,COC(=O)[C@H](C)CC(=O)O,CCOC(C)=O,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,0.67607294,0.52,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",di-sub,10.1021/jo0622429
9703,C=C(CC(=O)O)C(=O)OC,COC(=O)[C@H](C)CC(=O)O,CC(C)=O,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,0.2033013,0.17,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",di-sub,10.1021/jo0622429
9707,C=C(CC(=O)O)C(=O)OC,COC(=O)[C@@H](C)CC(=O)O,CCC(C)=O,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,0.37699674,0.31,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",di-sub,10.1021/jo0622429
9711,C=C(CC(=O)O)C(=O)OC,COC(=O)[C@H](C)CC(=O)O,CO,,Rh,CC(C)N(C(C)C)p1oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,CC(C)N(C(C)C)p1([Rh+]p2(N(C(C)C)C(C)C)->oc3c(P(c4ccccc4)c4ccccc4)cc4ccccc4c3c3c(o2)c(P(c2ccccc2)c2ccccc2)cc2ccccc23)->oc2c(P(c3ccccc3)c3ccccc3)cc3ccccc3c2c2c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc12,1.0,25.0,100.0,1.0,,1.5595258,0.87,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",di-sub,10.1021/jo0622429
